country,facility_name,town,address,latitude,longitude,coord_precision,facility_type,indoor_sand_courts,outdoor_courts_same_venue,outdoor_address,outdoor_latitude,outdoor_longitude,price_notes,currency,booking_or_info_url,availability_utilization_note,data_cutoff,fact_check_notes
SWEDEN,Modulen Beach & Klättercenter,Gislaved,"Bangatan 6, 332 33 Gislaved",57.3072,13.5430,address,dedicated_indoor_sand_hall,3,,,,,"Club news historically cited ~370 kr/h public / member discounts; site (May 2026) stresses relocation/new climbing hall Anderstorp—confirm sand still in Gislaved",SEK,https://modulen.se/,Website unstable in crawl; operator may be transitioning venues—confirm before travel,2026-05-07,"Partially verified: volleyboll.se still lists Modulen Gislaved; modulen.se front page focuses on Anderstorp climbing move—beach status unclear. Coords: Nominatim/Photon Bangatan, Gislaved (street midpoint)."
SWEDEN,Beach Center,Göteborg (Kviberg),"Krutvägen 6, 415 27 Göteborg",57.7384,12.0364,address,dedicated_indoor_sand_hall,16,12 outdoor at same site,,,,"Official front page counts; book via venue. World’s largest indoor beach hall.",SEK,https://beachcenter.se/boka-bana,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: beachcenter.se/kontakt — Krutvägen 6 415 27; 16 indoor + 12 outdoor. Coords: OSM way ‘Beach center’ pitch."
SWEDEN,The Beach,Huddinge,"Novavägen 35, 141 44 Huddinge",59.2314,17.9568,address,dedicated_indoor_sand_hall,10,7 outdoor at same site,,,,"Official 2026 page: non-member indoor 600–840 kr per court per 1.5 h slot bands; member discount; max 7-day ahead on MATCHi",SEK,https://www.matchi.se/facilities/thebeach,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: thebeach.se — Novavägen 35 Huddinge; pricing table + MATCHi slug /thebeach. Coords: OSM ‘The Beach’ sports_centre node."
SWEDEN,Beach Arena,Linköping,"Finnögatan 1, 582 78 Linköping",58.4225,15.6692,address,dedicated_indoor_sand_hall,3,,,,,"MATCHi multi-pass products ~2300–3900 SEK bands (snapshot)",SEK,https://www.matchi.se/facilities/beacharena,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: beacharena.se + MATCHi — three courts. Coords: OSM ‘Beach Arena’ sports_centre node, Finnögatan 1."
SWEDEN,Hyllie Sportcenter beachvolley,Malmö,"Bollspelsvägen 3, 215 32 Malmö",55.5704,12.9704,address,dedicated_indoor_sand_hall,3,,,,,"Malmö stad: ball borrow included in booking",SEK,https://malmo.se/Uppleva-och-gora/Idrott-och-traning/Hyllie-sportcenter/Sporter-foreningar-och-aktorer/Beachvolleyboll.html,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: Malmö stad — three heated indoor sand courts year-round Bollspelsvägen 3. Coords: OSM ‘Hyllie Sportcenter’ sports_centre node."
SWEDEN,Sthlm Beach Club,Sollentuna (Häggvik),"Norra Malmvägen 80, 191 62 Sollentuna",59.4397,17.9352,address,multi_activity_indoor_beach_venue,7,,,,,"Booking grid at boka.beachclub.nu/boka shows 7 indoor sand courts; padel/pickleball/streetbasket bookable separately; kalas/event pricing on site",SEK,https://boka.beachclub.nu/boka,Per-slot booking via boka.beachclub.nu; 3000 m² indoor tropical venue,2026-05-08,"Verified 2026-05-08: boka.beachclub.nu/boka booking grid lists 7 indoor sand courts. 3000 m² heated indoor venue Norra Malmvägen 80. Coords: OSM ‘Stockholm Beach Club’ pitch node."
SWEDEN,IKSU sport Las Palmas,Umeå,"Sportgränd / Sigurd Wallins väg 1, 907 36 Umeå",63.8186,20.3191,address,dedicated_indoor_sand_hall,4,,,,,"Membership-based booking via GoActive",SEK,https://www.iksu.se/utbud/boll-och-racket/beachvolley/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: iksu.se — four beach plans indoors Las Palmas IKSU sport. Coords: OSM ‘IKSU sport’ sports_centre on Sportgränd (postal address: Sigurd Wallins väg 1)."
DENMARK,Hafnia Hallen beach courts,København SV (Valby),"Julius Andersens Vej 6, 2450 København SV",55.6478,12.5103,address,dedicated_indoor_sand_hall,3,,,,,"Three indoor sand courts (also marketed for beach handball/football); book via hall/Rentspace flows",DKK,https://hafnia-hallen.dk/hafnia-hallen/om-hafnia-hallen/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: hafnia-hallen.dk — tre indendørs sandbaner; Julius Andersens Vej 6. Coords: Nominatim/Photon house-precise."
DENMARK,Beachdomen (vinter),Aarhus (Vestereng),"Paludan-Müllers Vej 110b, 8200 Aarhus N",56.1819,10.1766,address,air_dome_seasonal_winter,4,19 summer outdoor at Beachparken (~400 m east),"Beachparken Vestereng (Vesterengvej, 8200 Aarhus N)",56.1829,10.1827,"beachdomen.dk: 50 DKK/player/hour; club: 4 indoor dome + 19 outdoor ~400 m apart",DKK,https://beachdomen.dk/,Winter airdome only; marketing percentages on site are not booking utilization metrics,2026-05-07,"Verified: aarhusbeachvolley.dk + beachdomen.dk — 4 indoor winter dome courts; 19 outdoor at Beachparken. Indoor coords: Nominatim/Photon house Paludan-Müllers Vej 110B. Outdoor coords: OSM ‘Beach Park Aarhus’ sports_centre, Vesterengvej."
DENMARK,OBVK indoor sand hall,Odense,"Klokkestøbervej 3, 5230 Odense M",55.3787,10.4115,address,dedicated_indoor_sand_hall,3,6 summer outdoor at Dalumhallen (separate site),"Mejerivej 1 (Dalumhallen), 5260 Odense S",55.3566,10.3777,"Yoast meta: three heated indoor sand + six outdoor Dalum; Klokkestøbervej 3",DKK,https://obvk.dk/beachvolley-odense/,Per club calendar; no published aggregate utilization %,2026-05-07,"Verified: obvk.dk Hvor finder du os — udendørs Mejerivej 1 (bagved Dalumhallen). Indoor coords: house Klokkestøbervej 3. Outdoor coords: OSM ‘Dalumhallen’ sports_centre."
NORWAY,Trondheim Beach Senter,Trondheim (Lademoen),"Ladebekken 4, 7042 Trondheim",63.4437,10.4280,address,dedicated_indoor_sand_hall,1,,,,,"Nyhavna EC Dahls premises; ~160 t sand; ceiling ~5–6 m",NOK,https://beachsenter.no/?page_id=1241,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: beachsenter.no Om — én bane innendørs. Coords: Nominatim/Photon house Ladebekken 4."
NORWAY,Saaheim Sandhall,Rjukan,"Såheimsveien, 3660 Rjukan",59.8771,8.5837,address,dedicated_indoor_sand_hall,2,,,,,"Wikipedia: two full-size courts; 12 m ceiling; Tinn kommune drift",NOK,https://no.wikipedia.org/wiki/Saaheim_Sandhall,Unstaffed hall; local booking expectations—no utilization dashboard,2026-05-07,"Verified: no.wikipedia.org — indoor sandhall Saaheim. Coords: Nominatim ‘Rjukan’ station node Såheimsveien."
NORWAY,Åsane Arena sandhall,Bergen (Åsane),"Åsane Senter, 5116 Ulset",60.4640,5.3201,address,dedicated_indoor_sand_hall,3,,,,,"Bergen Sandvolleyballklubb uses MATCHi calendars",NOK,https://www.matchi.se/facilities/asanearena?lang=en_US,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified via federation/club references — three indoor courts (MATCHi slug asanearena). Coords: Nominatim/Photon ‘Åsane senter’ residential."
NORWAY,Sandhallen (ToppVolley / Sauda idrettspark),Sand (Suldal),"Eidssjøvegen, 4230 Sand, Suldal",59.4939,6.2529,address,dedicated_indoor_sand_hall,"3 training OR 2 match OR 1 international field (reconfigurable)",,,,,Elite boarding school facility—not public drop-in hall,NOK,http://www.toppvolley.no/index.php/informasjon/elever-utovere/fasiliteter,No consumer booking snapshot; page template noise unrelated to sport,2026-05-07,"Verified: toppvolley.no facility table. Coords: OSM ‘Suldal Bad’ swimming_pool at Eidssjøvegen (same idrettspark)."
NORWAY,Akropolis Sports Club Åssiden,Drammen (Åssiden),"Ingvald Ludvigsens gate 14, 3027 Drammen",59.7525,10.1284,address,gym_with_indoor_sand_court,1,,,,,"Sand lane free for members; book at Åssiden reception",NOK,http://www.akropolis.no/,Membership venue; no aggregate utilization %,2026-05-07,"Verified: gymlink/akropolis copy — én innendørs sandvolleyballbane Åssiden. Address corrected: ‘Ingvald’ (not ‘Ingvar’) per OSM/Norway PostNord. Coords: Nominatim/Photon house-precise."
ICELAND,Sandkastalinn,Reykjavík,"Viðarhöfði 1, 110 Reykjavík",64.1254,-21.7963,address,dedicated_indoor_sand_hall,2,,,,,"sandkastalinn.is Verðskrá: e.g. ~12000 ISK/h large court single booking vs term discounts (confirm tier)",ISK,https://sandkastalinn.is/,Skedda booking sandkastalinn.skedda.com; per-slot only,2026-05-07,"Verified: sandkastalinn.is — two courts (full size + smaller training). Coords: Nominatim/Photon Viðarhöfði 1 building."
ESTONIA,Hetk Rannahall,Maardu (Tallinn area),"Kärmu tn 1, 74114 Maardu",59.4576,24.9481,address,dedicated_indoor_sand_hall,2,,,,,"hetkrannahall.ee/booking: Mon–Fri 40 €/h off-peak (09–15), 65 €/h base (07:30–09 + 15–16:30 + 21–23), 85 €/h peak (16:30–21); weekends 65 €/h all day; up to 14 days advance, 4-on-4 max",EUR,https://hetkrannahall.ee/booking,Open 7:30–23:00 daily; per-slot booking via venue,2026-05-08,"Verified 2026-05-08: hetkrannahall.ee/booking states ‘two well-maintained, high-quality sand courts’ — 2 indoor courts. Address per venue: Kärmu tn 1, 74114 Maardu (postcode corrected from 74117 to 74114)."
ESTONIA,RING Sport,Tallinn (Õismäe / Haabersti),"Õismäe tee 130, 13513 Tallinn",59.4174,24.6450,address,multi_activity_indoor_beach_venue,3,,,,,"Sand courts plus basketball, table tennis, sauna/spa, hostel, café; rates on ringsport.ee",EUR,http://www.ringsport.ee/,Per-slot booking; ma–pe 9–22 / la–pü 10–21,2026-05-07,"Verified: ringsport.ee — kolm täismõõtmelist köetavat liivaplatsi, beach-volley/tennis/jalka. Coords: OSM RING Sport complex (sports_centre/hostel/cafe at Õismäe tee 130)."
ESTONIA,Teras Beach,Tallinn (Haabersti / Õismäe),"Lõuka tn 6, 13521 Tallinn",59.4275,24.6349,address,dedicated_indoor_sand_hall,3,6 summer outdoor at Haven Kakumäe (separate site),"Haven Kakumäe Beach Arena, Hülgemarjamäe 1, 13518 Tallinn",59.4476,24.6133,"Indoor +26 °C white sand; rates on terasbeach.ee/booking",EUR,https://www.terasbeach.ee/en/,Open year-round 9:00–22:30; per-slot booking,2026-05-07,"Verified: terasbeach.ee + spordiregister.ee — 3 standard indoor beach-volley courts since 2017. Coords: Nominatim/Photon building at Lõuka 6, Haabersti. Outdoor companion Haven Kakumäe (May–Sep, up to 6 outdoor courts)."
LATVIA,Beach Box,Rīga (Teika / VEF),"Brīvības gatve 197B, LV-1039 Rīga",56.9715,24.1584,address,dedicated_indoor_sand_hall,4,5 summer outdoor at Elkor pludmale (separate site Brīvības 201),"Brīvības gatve 201, LV-1039 Rīga",56.9737,24.1597,"Winter (1 Sep–31 May): 24–48 EUR/h weekday by band, 36 EUR/h weekend; min booking 1 h",EUR,https://www.beachbox.lv/site/,Per-slot reservation; daily 09:00–24:00 (07:00–09:00 by appt),2026-05-07,"Verified: beachbox.lv — 4 indoor courts in 1000 m² heated-sand hall, 8 m ceiling; address Brīvības gatve 197B (formerly VEF basketball hall). Outdoor companion ‘Elkor pludmale’ (5 FIVB-spec courts) at Brīvības gatve 201, summer only."
LATVIA,Beach Arena Rīga (Rīgas volejbola centrs),Rīga (Pētersala-Andrejsala),"Ganību dambis 20A, LV-1045 Rīga",56.9752,24.1160,address,dedicated_indoor_sand_hall,8,,,,,"beacharena.lv: 20 EUR/h (07–16), 38 EUR/h (16–21), 28 EUR/h weekends",EUR,https://beacharena.lv/,Open 07:00–24:00 daily; per-slot booking,2026-05-07,"Verified: beacharena.lv — 8 indoor courts (largest in Riga). Coords: OSM ‘Rīgas volejbola centrs’ sports_centre at Ganību dambis 20A."
LATVIA,Delfi Pludmales centrs (formerly Brazīlija / Ruukki),Mārupe (Riga area),"Lavandas, Mārupes pagasts, LV-2167",56.9212,24.0013,address,dedicated_indoor_sand_hall,6,7 outdoor at same site,,,,"Booking + pricing via pludmalescentrs.lv",EUR,https://pludmalescentrs.lv/en,Open 08:00–23:00 (with reservation),2026-05-07,"Verified: pludmalescentrs.lv (Delfi Beach Centre, formerly Brazīlija → Ruukki) — 6 indoor + 7 outdoor sand courts, ~2600 m²; near Riga airport. Coords: Photon ‘Ruukki Pludmales centrs’ at Lavandas, Mārupes pagasts."
LITHUANIA,Smėlio arena,Vilnius (Justiniškės),"Justiniškių g. 12, 05130 Vilnius",54.7032,25.2194,address,dedicated_indoor_sand_hall,6,,,,,"Booking + pricing via smelioarena.lt / ptl.lt directory",EUR,https://ptl.lt/en/courts/smelio-arena,Per-slot booking via venue,2026-05-07,"Verified: ptl.lt — 6 indoor courts at Justiniškių g. 12. Coords: OSM ‘Smėlio arena’ pitch."
LITHUANIA,Delfi sporto centras,Vilnius (Verkiai),"Ozo g. 14C, 08243 Vilnius",54.7160,25.2760,address,multi_activity_indoor_beach_venue,4,3 outdoor at same site,,,,"Booking via delfisportocentras.lt / ptl.lt directory",EUR,https://ptl.lt/en/courts/https-www.delfisportocentras.lt-papludimio-tinklinis-,Per-slot booking; on-site showers + café,2026-05-07,"Verified: ptl.lt — 4 indoor + 3 outdoor courts at Ozo g. 14C. Coords: OSM ‘Delfi sporto centras’ sports_centre."
LITHUANIA,Rio arena,Kaunas,"Kaunakiemio g. 5, 44351 Kaunas",54.8856,23.9247,address,dedicated_indoor_sand_hall,4,,,,,"Booking via rioarena.lt / ptl.lt directory",EUR,https://ptl.lt/en/courts/rio-arena,Per-slot booking via venue,2026-05-07,"Verified: ptl.lt — 4 indoor courts at Kaunakiemio g. 5. Coords: OSM ‘Rio smėlio arena’ sports_centre."
LITHUANIA,Bangos sporto arena,Kaunas (Petrašiūnai),"Technikos g. 18, 51211 Kaunas",54.9084,24.0081,address,multi_activity_indoor_beach_venue,4,2 outdoor at same site,,,,"Booking via bangossportoarena.lt / ptl.lt directory",EUR,https://ptl.lt/en/courts/bangos-sporto-arena,Per-slot booking via venue,2026-05-07,"Verified: ptl.lt — 4 indoor + 2 outdoor courts at Technikos g. 18 area (subaddress 18r per ptl directory; cluster of buildings 18/18G/18M on the site). Coords: Nominatim base building Technikos g. 18."
